UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),
UCB,Calc2,A,1,MATH 1B,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),
UCB,MultivariableCalc,A,1,MATH 53,MATH A280 (4.00),MATH A280H (5.00),,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH A285 (4.00),MATH A285H (5.00),,
UCD,DiscreteMath,A,1,ECS 020,MATH A230 (5.00),,,
UCD,Intro1,A,1,ECS 036A,CS A131 (4.00),CS A140 (4.00),CS A150 (4.00),CS A170 (4.00)
UCD,Intro2,A,1,ECS 036B,CS A250 (4.00),,,
UCD,DataStructures,A,1,ECS 036C,CS A200 (4.00),,,
UCD,Organization,A,1,ECS 050,CS A216 (4.00),,,
UCD,Calc1,A,1,MAT 021A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),
UCD,Calc2,A,1,MAT 021B,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),
UCD,Calc3,A,1,MAT 021C,MATH A280 (4.00),MATH A280H (5.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150 (4.00); CS A250 (4.00),,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150 (4.00); CS A250 (4.00),,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150 (4.00); CS A250 (4.00),,,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS A131 (4.00); CS A231 (4.00),,,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS A131 (4.00); CS A231 (4.00),,,
UCI,Calc1,A,1,MATH 2A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),
UCI,Calc2,A,1,MATH 2B,MATH A185 (4.00),MATH A185H (4.00),MATH A182H (5.00),
UCLA,Intro,A,1,COM SCI 31,CS A150 (4.00),,,
UCLA,Calc1,A,1,MATH 31A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),
UCLA,Calc2,A,1,MATH 31B,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),
UCLA,Calc3,A,1,MATH 32A,MATH A280 (4.00),MATH A280H (5.00),,
UCLA,Calc4,A,1,MATH 32B,MATH A280 (4.00),MATH A280H (5.00),,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH A285 (4.00),MATH A285H (5.00),,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH A285 (4.00),MATH A285H (5.00),,
UCM,DataStructures,A,1,CSE 030,CS A200 (4.00),,,
UCM,Calc1,A,1,MATH 021,MATH A180 (4.00),MATH A180H (4.00),,
UCM,Calc2,A,1,MATH 022,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),
UCM,VectorCalc,A,1,MATH 023,MATH A280 (4.00),MATH A280H (5.00),,
UCM,LinearAlgebra,A,1,MATH 024,MATH A285 (4.00),MATH A285H (5.00),,
UCM,DataStructures,A,1,CSE 030,CS A200 (4.00),,,
UCR,Intro1,A,1,CS 10A,CS A131 (4.00),CS A140 (4.00),CS A150 (4.00),CS A170 (4.00)
UCR,Intro2,A,1,CS 10B,CS A250 (4.00),,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH A180 (4.00); MATH A185 (4.00),MATH A182H (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH A180 (4.00); MATH A185 (4.00),MATH A182H (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH A180 (4.00); MATH A185 (4.00),MATH A182H (5.00),,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
UCSD,Intro,B,1,CSE 11,CS A170 (4.00),,,
UCSD,DataStructures,A,1,CSE 12,CS A200 (4.00),,,
UCSD,DiscreteMath,A,1,CSE 20,MATH A230 (5.00),CS A262 (3.00),,
UCSD,LinearAlgebra,A,1,MATH 18,MATH A235 (3.00),MATH A285 (4.00),MATH A285H (5.00),
UCSD,Calc1,A,1,MATH 20A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),
UCSD,Calc2,A,1,MATH 20B,MATH A185 (4.00),MATH A185H (4.00),MATH A182H (5.00),
UCSD,Calc3,A,1,MATH 20C,MATH A280 (4.00),MATH A280H (5.00),,
UCSB,Calc1,A,1,MATH 3A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),
UCSB,Calc2,A,1,MATH 3B,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),
UCSB,LinearAlgebra,A,1,MATH 4A,MATH A285 (4.00),MATH A285H (5.00),,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH A285 (4.00),MATH A285H (5.00),,
UCSB,Intro,A,1,CMPSC 16,CS A150 (4.00),,,
UCSB,DataStructures,A,1,CMPSC 24,CS A200 (4.00),,,
UCSB,DiscreteMath,A,1,CMPSC 40,CS A262 (3.00),MATH A230 (5.00),,
UCSC,DataStructures,A,1,CSE 12,CS A216 (4.00),,,
UCSC,DiscreteMath,A,1,CSE 16,CS A257 (3.00); CS A262 (3.00),MATH A230 (5.00),,
UCSC,Intro,A,1,CSE 30,CS A200 (4.00),,,
UCSC,Calc1,A,1,MATH 19A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),
UCSC,Calc2,A,1,MATH 19B,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),
