cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
de_anza,UCSD,IGETC,success,7,78.5,True,18.0,16.5,18,15,5,3,
de_anza,UCLA,IGETC,success,6,58.5,True,16.5,18,15,3,3,3,
de_anza,UCI,IGETC,success,3,51,False,18,18,15,0,0,0,
de_anza,UCR,IGETC,success,3,51,False,18,18,15,0,0,0,
de_anza,UCSB,IGETC,success,4,55.5,False,16.5,18,18,3,0,0,
de_anza,UCD,IGETC,success,7,69,True,18,18,15,5,5,5,
de_anza,UCB,IGETC,success,6,54,True,18,18,9,3,3,3,
de_anza,UCSC,IGETC,success,7,78.0,True,16.5,16.5,18,14,5,5,
de_anza,UCM,IGETC,success,6,66.0,True,16.5,16.5,18,9,3,3,
de_anza,UCLA+UCSD,IGETC,success,7,69.0,True,18.0,18,18,6,3,3,
de_anza,UCI+UCSD,IGETC,success,7,87.5,True,18.0,16.5,18,18,11,3,
de_anza,UCR+UCSD,IGETC,success,7,74.0,True,16.5,16.5,18,12,5,3,
de_anza,UCSB+UCSD,IGETC,success,4,63.0,False,18.0,18,18,9,0,0,
de_anza,UCD+UCSD,IGETC,success,7,72.5,True,16.5,18,18,9,5,3,
de_anza,UCB+UCSD,IGETC,success,7,76.5,True,18.0,16.5,18,15,3,3,
de_anza,UCSC+UCSD,IGETC,success,7,78.5,True,18.0,16.5,18,15,5,3,
de_anza,UCM+UCSD,IGETC,success,7,76.5,True,18.0,16.5,18,15,3,3,
de_anza,UCI+UCLA,IGETC,success,6,67.5,True,16.5,18,18,9,3,3,
de_anza,UCLA+UCR,IGETC,success,6,64.5,True,16.5,18,18,6,3,3,
de_anza,UCLA+UCSB,IGETC,success,7,61.5,True,16.5,18,15,3,3,3,
de_anza,UCD+UCLA,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCB+UCLA,IGETC,success,6,58.5,True,16.5,18,15,3,3,3,
de_anza,UCLA+UCSC,IGETC,success,7,64.5,True,16.5,18,18,3,3,3,
de_anza,UCLA+UCM,IGETC,success,6,58.5,True,16.5,18,15,3,3,3,
de_anza,UCI+UCR,IGETC,success,4,60,False,18,18,18,6,0,0,
de_anza,UCI+UCSB,IGETC,success,4,64.5,False,16.5,18,18,12,0,0,
de_anza,UCD+UCI,IGETC,success,7,78,True,18,18,18,11,5,5,
de_anza,UCB+UCI,IGETC,success,6,63,True,18,18,18,3,3,3,
de_anza,UCI+UCSC,IGETC,success,7,87.0,True,16.5,16.5,18,17,11,5,
de_anza,UCI+UCM,IGETC,success,6,75.0,True,16.5,16.5,18,18,3,3,
de_anza,UCR+UCSB,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCD+UCR,IGETC,success,7,72,True,18,18,18,5,5,5,
de_anza,UCB+UCR,IGETC,success,6,60,True,18,18,15,3,3,3,
de_anza,UCR+UCSC,IGETC,success,7,81.0,True,16.5,16.5,18,17,5,5,
de_anza,UCM+UCR,IGETC,success,6,69.0,True,16.5,16.5,18,12,3,3,
de_anza,UCD+UCSB,IGETC,success,3,51,False,18,18,15,0,0,0,
de_anza,UCB+UCSB,IGETC,success,4,55.5,False,16.5,18,18,3,0,0,
de_anza,UCSB+UCSC,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCM+UCSB,IGETC,success,4,55.5,False,16.5,18,18,3,0,0,
de_anza,UCB+UCD,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCD+UCSC,IGETC,success,7,69,True,18,18,15,5,5,5,
de_anza,UCD+UCM,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCB+UCSC,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCB+UCM,IGETC,success,6,66.0,True,16.5,16.5,18,9,3,3,
de_anza,UCM+UCSC,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCI+UCLA+UCSD,IGETC,success,7,78.0,True,18.0,18,18,15,3,3,
de_anza,UCLA+UCR+UCSD,IGETC,success,7,67.5,True,16.5,18,18,6,3,3,
de_anza,UCLA+UCSB+UCSD,IGETC,success,7,69.0,True,18.0,18,18,6,3,3,
de_anza,UCD+UCLA+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCB+UCLA+UCSD,IGETC,success,7,69.0,True,18.0,18,18,6,3,3,
de_anza,UCLA+UCSC+UCSD,IGETC,success,7,72.0,True,18.0,18,18,9,3,3,
de_anza,UCLA+UCM+UCSD,IGETC,success,7,69.0,True,18.0,18,18,6,3,3,
de_anza,UCI+UCR+UCSD,IGETC,success,7,83.0,True,16.5,16.5,18,18,8,3,
de_anza,UCI+UCSB+UCSD,IGETC,success,5,72.0,True,18.0,18,18,15,3,0,
de_anza,UCD+UCI+UCSD,IGETC,success,7,74,True,18,18,18,9,5,3,
de_anza,UCB+UCI+UCSD,IGETC,success,7,85.5,True,18.0,16.5,18,18,9,3,
de_anza,UCI+UCSC+UCSD,IGETC,success,7,87.5,True,16.5,16.5,16.5,18,14,3,
de_anza,UCI+UCM+UCSD,IGETC,success,7,85.5,True,18.0,16.5,18,18,9,3,
de_anza,UCR+UCSB+UCSD,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCD+UCR+UCSD,IGETC,success,7,68,True,18,18,18,3,5,3,
de_anza,UCB+UCR+UCSD,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCR+UCSC+UCSD,IGETC,success,7,74.0,True,16.5,16.5,18,12,5,3,
de_anza,UCM+UCR+UCSD,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCD+UCSB+UCSD,IGETC,success,7,73.5,True,16.5,18,18,12,3,3,
de_anza,UCB+UCSB+UCSD,IGETC,success,4,63.0,False,18.0,18,18,9,0,0,
de_anza,UCSB+UCSC+UCSD,IGETC,success,4,63.0,False,18.0,18,18,9,0,0,
de_anza,UCM+UCSB+UCSD,IGETC,success,4,63.0,False,18.0,18,18,9,0,0,
de_anza,UCB+UCD+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCD+UCSC+UCSD,IGETC,success,7,72.5,True,16.5,18,18,9,5,3,
de_anza,UCD+UCM+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCB+UCSC+UCSD,IGETC,success,7,76.5,True,18.0,16.5,18,15,3,3,
de_anza,UCB+UCM+UCSD,IGETC,success,7,76.5,True,18.0,16.5,18,15,3,3,
de_anza,UCM+UCSC+UCSD,IGETC,success,7,76.5,True,18.0,16.5,18,15,3,3,
de_anza,UCI+UCLA+UCR,IGETC,success,6,73.5,True,16.5,18,18,15,3,3,
de_anza,UCI+UCLA+UCSB,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCD+UCI+UCLA,IGETC,success,7,72,True,18,18,18,9,3,3,
de_anza,UCB+UCI+UCLA,IGETC,success,6,67.5,True,16.5,18,18,9,3,3,
de_anza,UCI+UCLA+UCSC,IGETC,success,7,73.5,True,16.5,18,18,12,3,3,
de_anza,UCI+UCLA+UCM,IGETC,success,6,67.5,True,16.5,18,18,9,3,3,
de_anza,UCLA+UCR+UCSB,IGETC,success,7,67.5,True,16.5,18,18,6,3,3,
de_anza,UCD+UCLA+UCR,IGETC,success,7,66,True,18,18,18,3,3,3,
de_anza,UCB+UCLA+UCR,IGETC,success,6,64.5,True,16.5,18,18,6,3,3,
de_anza,UCLA+UCR+UCSC,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCLA+UCM+UCR,IGETC,success,6,64.5,True,16.5,18,18,6,3,3,
de_anza,UCD+UCLA+UCSB,IGETC,success,3,48,False,18,18,12,0,0,0,
de_anza,UCB+UCLA+UCSB,IGETC,success,7,61.5,True,16.5,18,15,3,3,3,
de_anza,UCLA+UCSB+UCSC,IGETC,success,3,49.5,False,16.5,18,15,0,0,0,
de_anza,UCLA+UCM+UCSB,IGETC,success,7,61.5,True,16.5,18,15,3,3,3,
de_anza,UCB+UCD+UCLA,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCD+UCLA+UCSC,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCD+UCLA+UCM,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCB+UCLA+UCSC,IGETC,success,7,64.5,True,16.5,18,18,3,3,3,
de_anza,UCB+UCLA+UCM,IGETC,success,6,58.5,True,16.5,18,15,3,3,3,
de_anza,UCLA+UCM+UCSC,IGETC,success,7,64.5,True,16.5,18,18,3,3,3,
de_anza,UCI+UCR+UCSB,IGETC,success,4,67.5,False,16.5,18,18,15,0,0,
de_anza,UCD+UCI+UCR,IGETC,success,7,81,True,18,18,18,14,5,5,
de_anza,UCB+UCI+UCR,IGETC,success,6,69,True,18,18,18,9,3,3,
de_anza,UCI+UCR+UCSC,IGETC,success,7,93.0,True,18,16.5,16.5,17,17,5,
de_anza,UCI+UCM+UCR,IGETC,success,6,78.0,True,16.5,16.5,18,18,6,3,
de_anza,UCD+UCI+UCSB,IGETC,success,4,60,False,18,18,18,6,0,0,
de_anza,UCB+UCI+UCSB,IGETC,success,4,64.5,False,16.5,18,18,12,0,0,
de_anza,UCI+UCSB+UCSC,IGETC,success,4,67.5,False,16.5,18,18,15,0,0,
de_anza,UCI+UCM+UCSB,IGETC,success,4,64.5,False,16.5,18,18,12,0,0,
de_anza,UCB+UCD+UCI,IGETC,success,7,72,True,18,18,18,9,3,3,
de_anza,UCD+UCI+UCSC,IGETC,success,7,78,True,18,18,18,11,5,5,
de_anza,UCD+UCI+UCM,IGETC,success,7,72,True,18,18,18,9,3,3,
de_anza,UCB+UCI+UCSC,IGETC,success,7,81.0,True,16.5,16.5,18,18,6,3,
de_anza,UCB+UCI+UCM,IGETC,success,6,75.0,True,16.5,16.5,18,18,3,3,
de_anza,UCI+UCM+UCSC,IGETC,success,7,81.0,True,16.5,16.5,18,18,6,3,
de_anza,UCD+UCR+UCSB,IGETC,success,4,54,False,18,18,15,3,0,0,
de_anza,UCB+UCR+UCSB,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCR+UCSB+UCSC,IGETC,success,4,61.5,False,16.5,18,18,9,0,0,
de_anza,UCM+UCR+UCSB,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCB+UCD+UCR,IGETC,success,7,66,True,18,18,18,3,3,3,
de_anza,UCD+UCR+UCSC,IGETC,success,7,72,True,18,18,18,5,5,5,
de_anza,UCD+UCM+UCR,IGETC,success,7,66,True,18,18,18,3,3,3,
de_anza,UCB+UCR+UCSC,IGETC,success,7,75.0,True,16.5,16.5,18,15,3,3,
de_anza,UCB+UCM+UCR,IGETC,success,6,69.0,True,16.5,16.5,18,12,3,3,
de_anza,UCM+UCR+UCSC,IGETC,success,7,75.0,True,16.5,16.5,18,15,3,3,
de_anza,UCB+UCD+UCSB,IGETC,success,3,51,False,18,18,15,0,0,0,
de_anza,UCD+UCSB+UCSC,IGETC,success,3,51,False,18,18,15,0,0,0,
de_anza,UCD+UCM+UCSB,IGETC,success,3,51,False,18,18,15,0,0,0,
de_anza,UCB+UCSB+UCSC,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCB+UCM+UCSB,IGETC,success,4,55.5,False,16.5,18,18,3,0,0,
de_anza,UCM+UCSB+UCSC,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCB+UCD+UCSC,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCB+UCD+UCM,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCD+UCM+UCSC,IGETC,success,7,63,True,18,18,15,3,3,3,
de_anza,UCB+UCM+UCSC,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCI+UCLA+UCR+UCSD,IGETC,success,7,76.5,True,16.5,18,18,15,3,3,
de_anza,UCI+UCLA+UCSB+UCSD,IGETC,success,7,78.0,True,18.0,18,18,15,3,3,
de_anza,UCD+UCI+UCLA+UCSD,IGETC,success,7,79.5,True,18,16.5,18,18,3,3,
de_anza,UCB+UCI+UCLA+UCSD,IGETC,success,7,78.0,True,18.0,18,18,15,3,3,
de_anza,UCI+UCLA+UCSC+UCSD,IGETC,success,7,81.0,True,16.5,16.5,18,18,6,3,
de_anza,UCI+UCLA+UCM+UCSD,IGETC,success,7,78.0,True,18.0,18,18,15,3,3,
de_anza,UCLA+UCR+UCSB+UCSD,IGETC,success,7,67.5,True,16.5,18,18,6,3,3,
de_anza,UCD+UCLA+UCR+UCSD,IGETC,success,7,66,True,18,18,18,3,3,3,
de_anza,UCB+UCLA+UCR+UCSD,IGETC,success,7,67.5,True,16.5,18,18,6,3,3,
de_anza,UCLA+UCR+UCSC+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCLA+UCM+UCR+UCSD,IGETC,success,7,67.5,True,16.5,18,18,6,3,3,
de_anza,UCD+UCLA+UCSB+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCB+UCLA+UCSB+UCSD,IGETC,success,7,69.0,True,18.0,18,18,6,3,3,
de_anza,UCLA+UCSB+UCSC+UCSD,IGETC,success,7,72.0,True,18.0,18,18,9,3,3,
de_anza,UCLA+UCM+UCSB+UCSD,IGETC,success,7,69.0,True,18.0,18,18,6,3,3,
de_anza,UCB+UCD+UCLA+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCD+UCLA+UCSC+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCD+UCLA+UCM+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCB+UCLA+UCSC+UCSD,IGETC,success,7,72.0,True,18.0,18,18,9,3,3,
de_anza,UCB+UCLA+UCM+UCSD,IGETC,success,7,69.0,True,18.0,18,18,6,3,3,
de_anza,UCLA+UCM+UCSC+UCSD,IGETC,success,7,72.0,True,18.0,18,18,9,3,3,
de_anza,UCI+UCR+UCSB+UCSD,IGETC,success,4,67.5,False,16.5,18,18,15,0,0,
de_anza,UCD+UCI+UCR+UCSD,IGETC,success,7,77,True,18,18,18,12,5,3,
de_anza,UCB+UCI+UCR+UCSD,IGETC,success,7,81.0,True,16.5,16.5,18,18,6,3,
de_anza,UCI+UCR+UCSC+UCSD,IGETC,success,7,86.0,True,18,16.5,16.5,18,11,3,
de_anza,UCI+UCM+UCR+UCSD,IGETC,success,7,81.0,True,16.5,16.5,18,18,6,3,
de_anza,UCD+UCI+UCSB+UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
de_anza,UCB+UCI+UCSB+UCSD,IGETC,success,5,72.0,True,18.0,18,18,15,3,0,
de_anza,UCI+UCSB+UCSC+UCSD,IGETC,success,7,87.0,True,16.5,16.5,18,18,12,3,
de_anza,UCI+UCM+UCSB+UCSD,IGETC,success,5,72.0,True,18.0,18,18,15,3,0,
de_anza,UCB+UCD+UCI+UCSD,IGETC,success,7,72,True,18,18,18,9,3,3,
de_anza,UCD+UCI+UCSC+UCSD,IGETC,success,7,74,True,18,18,18,9,5,3,
de_anza,UCD+UCI+UCM+UCSD,IGETC,success,7,72,True,18,18,18,9,3,3,
de_anza,UCB+UCI+UCSC+UCSD,IGETC,success,7,85.5,True,16.5,16.5,16.5,18,12,3,
de_anza,UCB+UCI+UCM+UCSD,IGETC,success,7,85.5,True,18.0,16.5,18,18,9,3,
de_anza,UCI+UCM+UCSC+UCSD,IGETC,success,7,85.5,True,16.5,16.5,16.5,18,12,3,
de_anza,UCD+UCR+UCSB+UCSD,IGETC,success,7,69,True,18,18,18,6,3,3,
de_anza,UCB+UCR+UCSB+UCSD,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCR+UCSB+UCSC+UCSD,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCM+UCR+UCSB+UCSD,IGETC,success,4,58.5,False,16.5,18,18,6,0,0,
de_anza,UCB+UCD+UCR+UCSD,IGETC,success,7,66,True,18,18,18,3,3,3,
de_anza,UCD+UCR+UCSC+UCSD,IGETC,success,7,68,True,18,18,18,3,5,3,
de_anza,UCD+UCM+UCR+UCSD,IGETC,success,7,66,True,18,18,18,3,3,3,
de_anza,UCB+UCR+UCSC+UCSD,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCB+UCM+UCR+UCSD,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCM+UCR+UCSC+UCSD,IGETC,success,7,72.0,True,16.5,16.5,18,12,3,3,
de_anza,UCB+UCD+UCSB+UCSD,IGETC,success,7,73.5,True,16.5,18,18,12,3,3,
de_anza,UCD+UCSB+UCSC+UCSD,IGETC,success,7,73.5,True,16.5,18,18,12,3,3,
de_anza,UCD+UCM+UCSB+UCSD,IGETC,success,7,73.5,True,16.5,18,18,12,3,3,
de_anza,UCB+UCSB+UCSC+UCSD,IGETC,success,4,63.0,False,18.0,18,18,9,0,0,
de_anza,UCB+UCM+UCSB+UCSD,IGETC,success,4,63.0,False,18.0,18,18,9,0,0,
de_anza,UCM+UCSB+UCSC+UCSD,IGETC,success,4,63.0,False,18.0,18,18,9,0,0,
de_anza,UCB+UCD+UCSC+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
de_anza,UCB+UCD+UCM+UCSD,IGETC,success,7,70.5,True,16.5,18,18,9,3,3,
